Year,District,Crop,Rainfall,Temperature,Humidity,Yield
2011,Patiala,Mustard,967,28.2,70,2.08
2012,Patiala,Mustard,584,28.8,58,1.86
2013,Patiala,Mustard,680,27.4,51,2.27
2014,Patiala,Mustard,681,26.0,67,1.78
2015,Patiala,Mustard,1010,28.5,79,2.21
2016,Patiala,Mustard,699,33.4,72,1.67
2017,Patiala,Mustard,797,33.5,50,2.32
2018,Patiala,Mustard,573,31.5,55,1.84
2019,Patiala,Mustard,499,29.6,83,2.36
2020,Patiala,Mustard,912,31.5,83,1.65
2021,Patiala,Mustard,567,33.7,60,2.06
2022,Patiala,Mustard,1100,29.8,63,2.35
2023,Patiala,Mustard,632,26.8,59,1.64
2024,Patiala,Mustard,781,27.1,51,1.65
2010,Patiala,Potato,848,30.1,59,5.25
2011,Patiala,Potato,909,31.0,68,4.8
2012,Patiala,Potato,816,25.1,57,5.42
2013,Patiala,Potato,880,28.9,53,5.43
2014,Patiala,Potato,788,25.1,74,4.82
2015,Patiala,Potato,749,34.1,77,4.89
2016,Patiala,Potato,953,34.4,80,5.31
2017,Patiala,Potato,682,31.5,58,5.44
2018,Patiala,Potato,402,25.8,70,4.66
2019,Patiala,Potato,633,29.8,64,4.7
2020,Patiala,Potato,400,26.1,77,5.16
2021,Patiala,Potato,874,33.3,83,4.85
2022,Patiala,Potato,795,27.4,51,4.97
2023,Patiala,Potato,976,30.6,76,5.05
2024,Patiala,Potato,981,34.5,67,5.46
2010,Patiala,Bajra,483,26.0,84,2.63
2011,Patiala,Bajra,871,28.1,73,2.03
2012,Patiala,Bajra,447,34.0,69,1.96
2013,Patiala,Bajra,532,32.0,56,1.85
2014,Patiala,Bajra,1081,32.5,61,2.01
2015,Patiala,Bajra,1046,29.3,58,1.86
2016,Patiala,Bajra,789,27.7,68,2.57
2017,Patiala,Bajra,757,30.0,69,2.25
2018,Patiala,Bajra,424,29.4,65,2.45
2019,Patiala,Bajra,543,34.1,64,2.47
2020,Patiala,Bajra,806,26.3,67,2.08
2021,Patiala,Bajra,529,31.4,59,2.23
2022,Patiala,Bajra,1060,25.3,69,2.61
2023,Patiala,Bajra,804,30.3,82,2.44
2024,Patiala,Bajra,961,30.8,50,2.53
2010,Patiala,Gram,601,24.3,69,1.96
2011,Patiala,Gram,1012,28.5,77,2.13
2012,Patiala,Gram,678,27.7,50,1.77
2013,Patiala,Gram,699,27.2,62,2.06
2014,Patiala,Gram,993,30.1,83,1.77
2015,Patiala,Gram,723,24.7,70,2.26
2016,Patiala,Gram,680,25.5,66,1.42
2017,Patiala,Gram,1083,30.3,75,1.47
2018,Patiala,Gram,972,33.3,81,1.79
2019,Patiala,Gram,944,30.2,54,1.74
2020,Patiala,Gram,946,28.2,79,1.67
2021,Patiala,Gram,919,27.2,81,2.26
2022,Patiala,Gram,1003,25.3,67,1.69
2023,Patiala,Gram,533,29.6,72,1.59
2024,Patiala,Gram,959,24.3,65,2.27
2010,Patiala,Sunflower,857,26.2,70,2.73
2011,Patiala,Sunflower,973,35.0,69,2.29
2012,Patiala,Sunflower,587,30.8,59,2.55
2013,Patiala,Sunflower,510,32.4,53,2.7
2014,Patiala,Sunflower,816,26.3,79,2.25
2015,Patiala,Sunflower,968,26.3,85,2.59
2016,Patiala,Sunflower,467,26.8,73,2.13
2017,Patiala,Sunflower,462,25.0,78,2.53
2018,Patiala,Sunflower,860,32.8,54,2.1
2019,Patiala,Sunflower,763,30.8,66,2.06
2020,Patiala,Sunflower,735,32.1,82,2.38
2021,Patiala,Sunflower,564,26.8,73,2.57
2022,Patiala,Sunflower,877,30.8,51,1.94
2023,Patiala,Sunflower,749,29.0,72,2.19
2024,Patiala,Sunflower,980,30.4,58,2.18
2010,Bathinda,Wheat,846,33.9,78,3.28
2011,Bathinda,Wheat,1007,30.9,63,3.45
2012,Bathinda,Wheat,828,26.1,58,3.81
2013,Bathinda,Wheat,1086,32.6,61,3.14
2014,Bathinda,Wheat,463,30.4,76,3.96
2015,Bathinda,Wheat,944,32.5,75,3.05
2016,Bathinda,Wheat,430,31.5,84,3.18
2017,Bathinda,Wheat,750,30.1,76,3.56
2018,Bathinda,Wheat,1034,25.7,54,3.85
2019,Bathinda,Wheat,1020,27.4,84,3.21
2020,Bathinda,Wheat,509,32.2,51,3.7
2021,Bathinda,Wheat,527,24.7,84,3.32
2022,Bathinda,Wheat,904,32.2,79,3.48
2023,Bathinda,Wheat,575,31.1,50,3.55
2024,Bathinda,Wheat,1033,29.1,60,3.08
2010,Bathinda,Rice,519,34.8,65,4.24
2011,Bathinda,Rice,1002,27.5,53,4.96
2012,Bathinda,Rice,901,31.6,80,4.83
2013,Bathinda,Rice,1052,27.4,54,4.69
2014,Bathinda,Rice,1045,24.4,78,4.98
2015,Bathinda,Rice,527,29.7,55,4.92
2016,Bathinda,Rice,1014,29.7,77,4.22
2017,Bathinda,Rice,725,25.6,80,4.0
2018,Bathinda,Rice,1073,30.6,73,4.26
2019,Bathinda,Rice,688,28.2,74,4.83
2020,Bathinda,Rice,900,33.7,54,4.06
2021,Bathinda,Rice,655,33.4,67,4.29
2022,Bathinda,Rice,519,35.0,74,4.36
2023,Bathinda,Rice,704,26.4,55,4.36
2024,Bathinda,Rice,501,33.3,66,4.69
2010,Bathinda,Cotton,400,31.2,57,3.02
2011,Bathinda,Cotton,979,34.0,70,3.27
2012,Bathinda,Cotton,513,28.3,58,3.06
2013,Bathinda,Cotton,659,29.2,79,2.41
2014,Bathinda,Cotton,921,31.2,68,2.48
2015,Bathinda,Cotton,1042,26.8,63,2.39
2016,Bathinda,Cotton,422,26.8,76,2.72
2017,Bathinda,Cotton,998,29.5,54,2.66
2018,Bathinda,Cotton,614,30.9,82,3.11
2019,Bathinda,Cotton,611,32.2,52,3.29
2020,Bathinda,Cotton,951,31.3,77,3.11
2021,Bathinda,Cotton,751,33.7,54,3.1
2022,Bathinda,Cotton,733,25.0,58,2.31
2023,Bathinda,Cotton,561,24.7,74,2.73
2024,Bathinda,Cotton,798,29.7,80,2.91
2010,Bathinda,Maize,595,26.6,56,2.65
2011,Bathinda,Maize,422,29.5,61,2.52
2012,Bathinda,Maize,516,24.5,52,2.63
2013,Bathinda,Maize,937,30.0,77,2.52
2014,Bathinda,Maize,790,27.9,52,3.17
2015,Bathinda,Maize,487,27.8,83,3.0
2016,Bathinda,Maize,850,25.3,66,2.53
2017,Bathinda,Maize,733,29.0,85,3.2
2018,Bathinda,Maize,767,32.5,84,3.38
2019,Bathinda,Maize,459,24.8,66,2.9
2020,Bathinda,Maize,764,30.8,85,2.83
2021,Bathinda,Maize,886,28.6,81,2.57
2022,Bathinda,Maize,645,27.3,70,2.79
2023,Bathinda,Maize,980,25.2,73,3.46
2024,Bathinda,Maize,771,31.4,85,2.59
2010,Bathinda,Sugarcane,945,29.1,61,5.96
2011,Bathinda,Sugarcane,730,33.4,79,5.51
2012,Bathinda,Sugarcane,981,26.7,71,6.48
2013,Bathinda,Sugarcane,420,26.1,62,5.8
2014,Bathinda,Sugarcane,751,34.9,78,6.33
2015,Bathinda,Sugarcane,504,32.2,69,5.76
2016,Bathinda,Sugarcane,1024,33.1,68,6.46
2017,Bathinda,Sugarcane,872,25.5,57,6.5
2018,Bathinda,Sugarcane,927,25.7,59,5.65
2019,Bathinda,Sugarcane,990,29.0,66,6.22
2020,Bathinda,Sugarcane,961,33.4,64,6.4
2021,Bathinda,Sugarcane,613,30.6,78,6.37
2022,Bathinda,Sugarcane,584,25.4,78,5.9
2023,Bathinda,Sugarcane,601,30.6,63,5.63
2024,Bathinda,Sugarcane,476,31.7,64,5.89
2010,Bathinda,Mustard,479,33.5,51,2.23
2011,Bathinda,Mustard,606,27.7,79,2.0
2012,Bathinda,Mustard,1045,32.6,84,1.86
2013,Bathinda,Mustard,781,30.8,56,2.46
2014,Bathinda,Mustard,697,29.1,67,1.75
2015,Bathinda,Mustard,968,28.5,82,1.57
2016,Bathinda,Mustard,468,32.3,61,1.77
2017,Bathinda,Mustard,999,31.1,74,2.01
2018,Bathinda,Mustard,571,30.3,66,2.35
2019,Bathinda,Mustard,827,28.1,55,2.35
2020,Bathinda,Mustard,413,32.6,68,2.41
2021,Bathinda,Mustard,854,31.6,61,2.18
2022,Bathinda,Mustard,1063,26.4,85,2.15
2023,Bathinda,Mustard,493,29.1,62,2.49
2024,Bathinda,Mustard,695,25.8,71,2.31
2010,Bathinda,Potato,1005,30.9,85,4.95
2011,Bathinda,Potato,926,26.0,85,5.42
2012,Bathinda,Potato,558,30.6,52,4.97
2013,Bathinda,Potato,744,33.9,56,5.24
2014,Bathinda,Potato,649,29.9,77,5.02
2015,Bathinda,Potato,947,25.7,70,5.18
2016,Bathinda,Potato,794,26.6,59,4.88
2017,Bathinda,Potato,574,25.3,66,5.26
2018,Bathinda,Potato,856,32.2,66,5.27
2019,Bathinda,Potato,620,31.1,54,5.07
2020,Bathinda,Potato,1008,26.0,59,4.61
2021,Bathinda,Potato,1085,32.5,50,5.44
2022,Bathinda,Potato,1070,26.6,62,4.6
2023,Bathinda,Potato,865,29.0,78,4.94
2024,Bathinda,Potato,1027,26.4,73,4.58
2010,Bathinda,Bajra,752,31.1,76,2.03
2011,Bathinda,Bajra,854,27.5,76,2.16
2012,Bathinda,Bajra,544,27.2,50,2.35
2013,Bathinda,Bajra,1035,25.8,75,2.61
2014,Bathinda,Bajra,749,33.9,54,2.47
2015,Bathinda,Bajra,664,29.5,71,1.85
2016,Bathinda,Bajra,612,27.6,59,2.66
2017,Bathinda,Bajra,991,27.2,59,2.54
2018,Bathinda,Bajra,772,27.7,51,2.58
2019,Bathinda,Bajra,406,34.9,55,1.74
2020,Bathinda,Bajra,448,30.7,54,2.46
2021,Bathinda,Bajra,485,28.6,73,2.32
2022,Bathinda,Bajra,855,30.4,60,2.25
2023,Bathinda,Bajra,1051,34.6,79,2.43
2024,Bathinda,Bajra,610,26.0,61,2.24
2010,Bathinda,Gram,424,24.6,52,1.63
2011,Bathinda,Gram,514,30.0,59,1.8
2012,Bathinda,Gram,719,29.9,52,2.22
2013,Bathinda,Gram,459,34.9,83,1.91
2014,Bathinda,Gram,414,30.5,68,1.83
2015,Bathinda,Gram,513,26.7,52,1.3
2016,Bathinda,Gram,1013,28.1,79,1.55
2017,Bathinda,Gram,996,25.9,51,1.97
2018,Bathinda,Gram,772,30.7,71,1.68
2019,Bathinda,Gram,771,29.0,51,1.37
2020,Bathinda,Gram,992,31.0,84,1.32
2021,Bathinda,Gram,828,26.8,79,1.33
2022,Bathinda,Gram,939,31.1,62,1.47
2023,Bathinda,Gram,1064,26.3,74,1.92
2024,Bathinda,Gram,907,26.9,62,1.9
2010,Bathinda,Sunflower,752,31.1,64,2.18
2011,Bathinda,Sunflower,870,27.5,54,2.09
2012,Bathinda,Sunflower,905,25.3,70,2.76
2013,Bathinda,Sunflower,1077,24.8,78,2.68
2014,Bathinda,Sunflower,793,33.8,74,1.9
2015,Bathinda,Sunflower,1045,32.1,70,2.0
2016,Bathinda,Sunflower,938,28.8,55,2.17
2017,Bathinda,Sunflower,608,25.0,72,2.43
2018,Bathinda,Sunflower,934,28.0,63,2.46
2019,Bathinda,Sunflower,926,24.3,54,2.78
2020,Bathinda,Sunflower,844,27.3,63,2.16
2021,Bathinda,Sunflower,938,28.8,62,1.99
2022,Bathinda,Sunflower,966,30.2,70,2.12
2023,Bathinda,Sunflower,541,29.7,74,2.0
2024,Bathinda,Sunflower,713,31.5,83,2.23
2010,Moga,Wheat,543,34.2,79,3.77
2011,Moga,Wheat,426,31.6,52,3.48
2012,Moga,Wheat,1001,31.4,55,3.92
2013,Moga,Wheat,1032,28.2,51,3.17
2014,Moga,Wheat,617,34.0,73,3.09
2015,Moga,Wheat,1021,24.7,75,3.72
2016,Moga,Wheat,628,32.2,75,3.18
2017,Moga,Wheat,714,25.4,71,3.86
2018,Moga,Wheat,636,28.3,67,3.56
2019,Moga,Wheat,915,28.5,82,3.67
2020,Moga,Wheat,1053,25.4,71,3.43
2021,Moga,Wheat,851,26.4,61,3.02
2022,Moga,Wheat,846,26.1,78,3.93
2023,Moga,Wheat,489,26.4,54,3.45
2024,Moga,Wheat,540,29.9,66,3.47
2010,Moga,Rice,757,29.9,69,4.61
2011,Moga,Rice,994,32.9,52,4.62
2012,Moga,Rice,459,25.5,51,4.58
2013,Moga,Rice,588,26.4,81,4.63
2014,Moga,Rice,989,30.2,60,4.21
2015,Moga,Rice,1011,26.3,51,4.77
2016,Moga,Rice,879,33.2,64,4.07
2017,Moga,Rice,1021,32.7,69,4.61
2018,Moga,Rice,1031,30.3,63,4.71
2019,Moga,Rice,468,26.7,57,4.19
2020,Moga,Rice,526,28.0,82,4.67
2021,Moga,Rice,434,27.0,78,4.16
2022,Moga,Rice,951,28.4,52,4.29
2023,Moga,Rice,814,29.8,79,4.79
2024,Moga,Rice,662,29.1,60,4.2
2010,Moga,Cotton,589,29.4,79,3.15
2011,Moga,Cotton,989,33.9,56,2.38
2012,Moga,Cotton,649,33.8,54,2.73
2013,Moga,Cotton,443,29.8,55,3.22
2014,Moga,Cotton,448,25.3,84,2.46
2015,Moga,Cotton,701,29.7,61,3.08
2016,Moga,Cotton,426,24.4,53,3.03
2017,Moga,Cotton,889,29.2,70,2.69
2018,Moga,Cotton,672,30.4,55,2.98
2019,Moga,Cotton,689,29.4,50,2.44
2020,Moga,Cotton,986,34.4,66,3.02
2021,Moga,Cotton,695,32.3,75,3.12
2022,Moga,Cotton,764,34.7,73,2.52
2023,Moga,Cotton,988,28.9,85,3.26
2024,Moga,Cotton,1054,30.8,70,3.1
2010,Moga,Maize,882,29.3,59,2.51
2011,Moga,Maize,710,27.7,57,3.27
2012,Moga,Maize,770,29.4,73,3.06
2013,Moga,Maize,758,28.9,50,2.68
2014,Moga,Maize,477,27.8,77,3.02
2015,Moga,Maize,1017,32.5,81,3.07
2016,Moga,Maize,997,34.4,69,3.41
2017,Moga,Maize,866,28.4,50,2.91
2018,Moga,Maize,679,29.3,55,2.78
2019,Moga,Maize,940,30.8,64,3.38
2020,Moga,Maize,811,34.2,60,3.0
2021,Moga,Maize,920,31.6,80,2.65
2022,Moga,Maize,698,28.7,78,2.77
2023,Moga,Maize,472,24.3,61,2.74
2024,Moga,Maize,910,32.7,69,3.4
2010,Moga,Sugarcane,936,33.5,55,5.61
2011,Moga,Sugarcane,1058,34.7,75,5.76
2012,Moga,Sugarcane,831,32.9,71,5.81
2013,Moga,Sugarcane,902,25.0,79,5.67
2014,Moga,Sugarcane,1071,32.4,53,5.56
2015,Moga,Sugarcane,834,25.6,57,5.97
2016,Moga,Sugarcane,971,34.9,50,6.15
2017,Moga,Sugarcane,798,28.3,72,5.52
2018,Moga,Sugarcane,673,28.0,78,6.09
2019,Moga,Sugarcane,848,27.7,62,6.41
2020,Moga,Sugarcane,656,27.3,76,5.83
2021,Moga,Sugarcane,805,26.1,52,5.64
2022,Moga,Sugarcane,834,34.8,83,5.53
2023,Moga,Sugarcane,412,28.3,81,6.12
2024,Moga,Sugarcane,794,30.5,76,6.1
2010,Moga,Mustard,1080,27.7,58,1.68
2011,Moga,Mustard,648,24.6,66,1.64
2012,Moga,Mustard,849,26.7,68,2.04
2013,Moga,Mustard,424,28.4,69,1.53
2014,Moga,Mustard,572,27.3,79,1.51
2015,Moga,Mustard,1059,27.4,61,2.12
2016,Moga,Mustard,943,28.9,59,1.79
2017,Moga,Mustard,931,32.7,85,1.67
2018,Moga,Mustard,694,34.1,58,1.81
2019,Moga,Mustard,424,29.0,62,2.28
2020,Moga,Mustard,657,24.2,64,1.64
2021,Moga,Mustard,742,30.2,83,1.87
2022,Moga,Mustard,658,26.1,57,1.56
2023,Moga,Mustard,960,26.8,69,2.37
2024,Moga,Mustard,631,27.9,63,2.45
2010,Moga,Potato,721,28.7,51,5.45
2011,Moga,Potato,858,26.2,55,4.92
2012,Moga,Potato,675,30.8,85,4.68
2013,Moga,Potato,1034,26.0,67,5.2
2014,Moga,Potato,973,30.4,76,5.48
2015,Moga,Potato,560,32.0,74,4.52
2016,Moga,Potato,1026,30.6,68,5.02
2017,Moga,Potato,473,25.8,74,4.56
2018,Moga,Potato,881,27.0,75,5.15
2019,Moga,Potato,679,30.2,77,5.02
2020,Moga,Potato,965,32.9,79,4.81
2021,Moga,Potato,626,31.7,53,4.59
2022,Moga,Potato,1033,27.3,51,5.39
2023,Moga,Potato,1081,33.2,72,5.11
2024,Moga,Potato,462,32.0,54,4.52
2010,Moga,Bajra,634,27.4,80,1.93
2011,Moga,Bajra,633,26.7,79,2.53
2012,Moga,Bajra,865,26.2,50,2.69
2013,Moga,Bajra,908,31.5,52,2.29
2014,Moga,Bajra,641,29.0,69,2.52
2015,Moga,Bajra,1075,31.2,74,1.91
2016,Moga,Bajra,417,33.2,59,2.24
2017,Moga,Bajra,559,26.8,71,2.42
2018,Moga,Bajra,993,24.5,82,2.35
2019,Moga,Bajra,839,24.3,58,1.92
2020,Moga,Bajra,751,30.5,62,2.28
2021,Moga,Bajra,582,29.3,74,1.91
2022,Moga,Bajra,805,27.7,71,2.55
2023,Moga,Bajra,1079,24.8,56,1.77
2024,Moga,Bajra,468,26.9,64,2.37
2010,Moga,Gram,1022,33.5,65,2.09
2011,Moga,Gram,718,30.5,80,1.77
2012,Moga,Gram,682,30.7,71,2.08
2013,Moga,Gram,563,27.5,53,1.73
2014,Moga,Gram,1084,26.4,50,2.19
2015,Moga,Gram,720,25.7,84,2.11
2016,Moga,Gram,1066,29.9,53,1.51
2017,Moga,Gram,527,33.5,77,1.66
2018,Moga,Gram,576,31.9,72,1.62
2019,Moga,Gram,445,31.7,67,1.44
2020,Moga,Gram,408,24.4,58,1.84
2021,Moga,Gram,788,29.3,53,1.3
2022,Moga,Gram,952,30.7,67,1.85
2023,Moga,Gram,652,25.6,80,1.92
2024,Moga,Gram,919,34.8,62,1.77
2010,Moga,Sunflower,1036,31.8,80,2.59
2011,Moga,Sunflower,592,25.4,57,2.72
2012,Moga,Sunflower,806,29.9,57,1.98
2013,Moga,Sunflower,732,33.6,64,1.81
2014,Moga,Sunflower,1055,29.4,65,2.06
2015,Moga,Sunflower,631,25.4,66,2.55
2016,Moga,Sunflower,653,26.1,82,2.36
2017,Moga,Sunflower,914,30.1,79,2.42
2018,Moga,Sunflower,639,34.1,58,2.55
2019,Moga,Sunflower,489,24.3,52,2.56
2020,Moga,Sunflower,464,28.3,52,2.38
2021,Moga,Sunflower,828,30.4,59,2.69
2022,Moga,Sunflower,464,26.0,59,2.52
2023,Moga,Sunflower,462,34.6,73,1.98
2024,Moga,Sunflower,564,31.4,84,2.16
2010,Sangrur,Wheat,887,33.2,72,3.21
2011,Sangrur,Wheat,966,30.0,67,3.86
2012,Sangrur,Wheat,722,33.8,71,3.37
2013,Sangrur,Wheat,643,30.6,70,3.51
2014,Sangrur,Wheat,829,24.2,65,3.09
2015,Sangrur,Wheat,577,26.0,75,3.31
2016,Sangrur,Wheat,542,26.6,53,3.06
2017,Sangrur,Wheat,727,27.3,74,3.32
2018,Sangrur,Wheat,443,30.2,52,3.78
2019,Sangrur,Wheat,734,31.5,59,3.84
2020,Sangrur,Wheat,784,29.5,64,3.71
2021,Sangrur,Wheat,838,29.6,52,3.14
2022,Sangrur,Wheat,747,30.5,81,3.97
2023,Sangrur,Wheat,664,31.4,85,3.99
2024,Sangrur,Wheat,913,31.8,64,3.08
2010,Sangrur,Rice,804,31.8,56,4.46
2011,Sangrur,Rice,608,31.1,75,4.8
2012,Sangrur,Rice,939,33.7,65,4.44
2013,Sangrur,Rice,498,33.9,62,4.31
2014,Sangrur,Rice,477,24.6,82,4.33
2015,Sangrur,Rice,418,34.2,59,4.32
2016,Sangrur,Rice,597,25.3,65,4.75
2017,Sangrur,Rice,779,30.9,55,4.64
2018,Sangrur,Rice,640,30.6,60,4.47
2019,Sangrur,Rice,740,33.6,75,4.46
2020,Sangrur,Rice,800,26.5,79,4.67
2021,Sangrur,Rice,533,28.7,50,4.06
2022,Sangrur,Rice,865,26.8,70,4.8
2023,Sangrur,Rice,1038,27.3,51,4.27
2024,Sangrur,Rice,438,31.1,79,4.28
2010,Sangrur,Cotton,611,31.6,83,2.77
2011,Sangrur,Cotton,743,24.7,56,3.21
2012,Sangrur,Cotton,668,31.4,79,2.94
2013,Sangrur,Cotton,1022,25.2,85,2.99
2014,Sangrur,Cotton,976,29.8,77,2.48
2015,Sangrur,Cotton,753,31.5,59,2.35
2016,Sangrur,Cotton,785,31.0,78,2.95
2017,Sangrur,Cotton,837,26.0,82,2.93
2018,Sangrur,Cotton,483,27.7,67,2.79
2019,Sangrur,Cotton,1043,32.0,54,2.47
2020,Sangrur,Cotton,1062,31.1,62,2.92
2021,Sangrur,Cotton,910,29.5,68,2.46
2022,Sangrur,Cotton,954,28.5,60,3.22
2023,Sangrur,Cotton,650,34.8,53,2.66
2024,Sangrur,Cotton,806,30.8,79,3.22
2010,Sangrur,Maize,1097,25.8,67,3.33
2011,Sangrur,Maize,1013,25.9,76,2.79
2012,Sangrur,Maize,481,24.8,71,2.6
2013,Sangrur,Maize,686,27.5,83,3.01
2014,Sangrur,Maize,406,24.7,54,2.61
2015,Sangrur,Maize,752,31.4,53,3.0
2016,Sangrur,Maize,679,33.6,72,2.51
2017,Sangrur,Maize,805,27.1,74,3.31
2018,Sangrur,Maize,758,29.9,52,2.55
2019,Sangrur,Maize,560,31.2,56,3.05
2020,Sangrur,Maize,696,29.1,83,2.64
2021,Sangrur,Maize,463,25.2,62,3.38
2022,Sangrur,Maize,864,31.8,64,2.81
2023,Sangrur,Maize,659,25.8,84,3.15
2024,Sangrur,Maize,754,29.6,56,3.34
2010,Sangrur,Sugarcane,876,28.6,84,6.14
2011,Sangrur,Sugarcane,762,33.1,57,5.86
2012,Sangrur,Sugarcane,753,28.4,50,6.17
2013,Sangrur,Sugarcane,468,24.8,69,6.14
2014,Sangrur,Sugarcane,423,33.0,76,6.1
2015,Sangrur,Sugarcane,785,25.8,84,6.32
2016,Sangrur,Sugarcane,508,30.4,72,6.02
2017,Sangrur,Sugarcane,482,28.6,63,6.03
2018,Sangrur,Sugarcane,1083,24.9,50,5.51
2019,Sangrur,Sugarcane,542,25.7,75,5.73
2020,Sangrur,Sugarcane,541,33.3,58,6.19
2021,Sangrur,Sugarcane,906,32.0,53,5.91
2022,Sangrur,Sugarcane,955,33.0,56,5.62
2023,Sangrur,Sugarcane,971,34.9,71,5.51
2024,Sangrur,Sugarcane,730,25.6,67,5.66
2010,Sangrur,Mustard,525,33.0,70,1.95
2011,Sangrur,Mustard,456,32.4,72,1.64
2012,Sangrur,Mustard,940,29.5,57,2.24
2013,Sangrur,Mustard,903,33.1,63,1.89
2014,Sangrur,Mustard,444,32.9,72,1.84
2015,Sangrur,Mustard,544,34.5,84,2.39
2016,Sangrur,Mustard,827,32.1,55,1.65
2017,Sangrur,Mustard,891,30.6,54,2.41
2018,Sangrur,Mustard,460,33.4,74,2.0
2019,Sangrur,Mustard,533,24.7,60,1.56
2020,Sangrur,Mustard,752,28.0,84,1.87
2021,Sangrur,Mustard,1021,34.7,55,1.8
2022,Sangrur,Mustard,827,33.0,79,2.12
2023,Sangrur,Mustard,1025,26.4,55,2.14
2024,Sangrur,Mustard,975,27.1,57,2.17
2010,Sangrur,Potato,1098,26.1,69,5.43
2011,Sangrur,Potato,586,28.3,76,4.73
2012,Sangrur,Potato,1017,32.7,60,5.22
2013,Sangrur,Potato,840,33.4,80,4.94
2014,Sangrur,Potato,1030,24.8,81,5.15
2015,Sangrur,Potato,866,24.5,62,4.5
2016,Sangrur,Potato,899,32.4,69,4.75
2017,Sangrur,Potato,801,25.7,67,4.74
2018,Sangrur,Potato,469,34.6,55,5.18
2019,Sangrur,Potato,619,30.6,76,4.77
2020,Sangrur,Potato,830,30.2,56,4.99
2021,Sangrur,Potato,475,28.1,83,5.48
2022,Sangrur,Potato,871,32.9,57,5.09
2023,Sangrur,Potato,610,27.4,58,4.67
2024,Sangrur,Potato,407,33.2,71,5.39
2010,Sangrur,Bajra,644,28.9,79,2.52
2011,Sangrur,Bajra,584,25.9,53,2.44
2012,Sangrur,Bajra,749,28.0,58,2.0
2013,Sangrur,Bajra,862,31.4,65,2.44
2014,Sangrur,Bajra,436,30.4,75,2.56
2015,Sangrur,Bajra,1025,32.9,57,1.91
2016,Sangrur,Bajra,1021,25.1,51,2.14
2017,Sangrur,Bajra,495,25.0,73,1.77
2018,Sangrur,Bajra,839,27.0,78,2.19
2019,Sangrur,Bajra,561,33.1,53,2.59
2020,Sangrur,Bajra,986,29.3,68,2.29
2021,Sangrur,Bajra,551,24.6,67,2.18
2022,Sangrur,Bajra,702,35.0,59,2.42
2023,Sangrur,Bajra,408,27.6,82,2.02
2024,Sangrur,Bajra,892,28.5,59,2.4
2010,Sangrur,Gram,565,31.5,79,1.69
2011,Sangrur,Gram,815,25.3,77,1.76
2012,Sangrur,Gram,932,33.9,77,2.05
2013,Sangrur,Gram,836,29.7,54,1.59
2014,Sangrur,Gram,875,33.2,55,2.12
2015,Sangrur,Gram,628,30.4,72,1.31
2016,Sangrur,Gram,582,32.6,70,1.73
2017,Sangrur,Gram,498,33.6,84,2.25
2018,Sangrur,Gram,726,34.6,77,1.69
2019,Sangrur,Gram,538,31.4,62,2.21
2020,Sangrur,Gram,822,30.5,84,2.24
2021,Sangrur,Gram,988,30.2,62,1.35
2022,Sangrur,Gram,762,34.2,76,1.44
2023,Sangrur,Gram,431,28.9,68,1.4
2024,Sangrur,Gram,436,30.4,76,1.6
2010,Sangrur,Sunflower,750,30.5,61,2.27
2011,Sangrur,Sunflower,1018,31.0,57,1.91
2012,Sangrur,Sunflower,656,33.9,77,2.76
2013,Sangrur,Sunflower,801,27.5,77,2.11
2014,Sangrur,Sunflower,854,26.3,70,2.45
2015,Sangrur,Sunflower,742,26.0,58,2.2
2016,Sangrur,Sunflower,1029,24.1,65,2.76
2017,Sangrur,Sunflower,819,26.9,78,2.31
2018,Sangrur,Sunflower,1036,28.4,81,2.59
2019,Sangrur,Sunflower,937,27.9,75,2.49
2020,Sangrur,Sunflower,939,26.8,66,2.48
2021,Sangrur,Sunflower,952,34.0,59,1.85
2022,Sangrur,Sunflower,475,29.4,52,2.78
2023,Sangrur,Sunflower,602,24.5,60,1.95
2024,Sangrur,Sunflower,667,32.0,54,2.45
2010,Kapurthala,Wheat,751,33.0,62,3.89
2011,Kapurthala,Wheat,844,34.5,64,3.79
2012,Kapurthala,Wheat,725,32.9,73,3.34
2013,Kapurthala,Wheat,449,29.4,55,3.66
2014,Kapurthala,Wheat,456,30.4,62,3.86
2015,Kapurthala,Wheat,597,34.6,68,3.46
2016,Kapurthala,Wheat,832,32.5,58,3.84
2017,Kapurthala,Wheat,428,32.9,75,3.07
2018,Kapurthala,Wheat,610,26.8,52,3.26
2019,Kapurthala,Wheat,744,34.8,51,3.5
2020,Kapurthala,Wheat,1005,25.6,56,3.49
2021,Kapurthala,Wheat,574,34.2,75,3.78
2022,Kapurthala,Wheat,711,27.1,77,3.33
2023,Kapurthala,Wheat,678,29.0,80,3.81
2024,Kapurthala,Wheat,626,30.3,54,3.81
2010,Kapurthala,Rice,547,25.1,67,4.49
2011,Kapurthala,Rice,638,25.6,78,4.96
2012,Kapurthala,Rice,927,30.5,72,4.35
2013,Kapurthala,Rice,985,29.4,70,4.71
2014,Kapurthala,Rice,881,26.3,63,4.55
2015,Kapurthala,Rice,824,25.7,56,4.45
2016,Kapurthala,Rice,759,29.2,62,4.12
2017,Kapurthala,Rice,607,24.3,69,5.0
2018,Kapurthala,Rice,743,26.0,72,4.4
2019,Kapurthala,Rice,840,34.1,70,4.76
2020,Kapurthala,Rice,417,25.6,56,4.57
